Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
304,358,380,327,357,347,142,123,237,304,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
303,356,377,326,355,345,143,122,236,303,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
302,355,377,326,355,345,143,121,235,302,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
303,360,378,328,356,345,142,122,237,303,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
304,364,379,329,357,347,138,121,236,304,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
303,372,379,328,356,346,140,122,235,305,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
307,370,383,332,360,350,143,123,237,307,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
304,372,380,330,357,347,142,123,236,304,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
302,374,378,329,355,345,141,124,237,303,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
301,373,375,329,353,343,141,124,237,300,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
300,375,375,327,353,342,141,124,238,300,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
297,372,371,325,349,339,141,124,237,296,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
298,374,373,321,351,341,142,124,238,298,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
299,376,374,323,352,342,143,124,238,299,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
298,375,373,324,351,340,142,124,237,298,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
297,373,371,325,349,338,142,123,236,297,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
296,373,370,336,349,338,142,123,236,296,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
299,376,373,331,351,340,142,124,236,299,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
297,374,371,331,349,338,138,123,236,297,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
296,373,370,330,349,337,136,123,237,296,proper,"62.876288659793815,70.11340206185567,84.0721649484536,71.21649484536083,88.68041237113403,69.48453608247422,177.89690721649484,129.3298969072165,190.95876288659792,62.90721649484536"
