Reading 1,Reading 2,Reading 3,Reading 4,Label
240,232,132,137,empty
240,232,132,137,empty
240,232,132,137,empty
240,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
240,232,132,137,empty
240,232,132,137,empty
241,232,132,137,empty
240,232,132,137,empty
240,232,132,137,empty
240,232,132,137,empty
240,232,132,137,empty
241,232,132,137,empty
240,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,233,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,233,132,138,empty
241,232,133,137,empty
241,232,133,138,empty
241,232,133,137,empty
241,232,133,137,empty
241,232,133,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,133,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,233,133,137,empty
241,233,133,138,empty
241,233,133,138,empty
241,233,133,137,empty
241,233,133,138,empty
241,233,133,138,empty
241,233,133,138,empty
241,233,133,137,empty
241,233,133,137,empty
242,233,132,138,empty
242,233,133,138,empty
242,233,132,138,empty
242,232,133,138,empty
242,233,133,138,empty
242,233,133,138,empty
242,233,133,138,empty
242,233,133,138,empty
242,233,133,138,empty
242,233,133,138,empty
242,233,133,138,empty
242,233,133,138,empty
242,233,133,137,empty
241,232,133,138,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
240,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,231,132,137,empty
240,232,132,137,empty
240,231,131,136,empty
240,231,132,136,empty
240,231,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,131,137,empty
241,232,131,137,empty
241,232,132,136,empty
241,232,132,137,empty
241,232,133,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
240,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
240,231,132,137,empty
241,231,131,136,empty
241,231,132,137,empty
241,232,132,137,empty
240,231,132,137,empty
241,232,132,137,empty
241,232,131,137,empty
241,232,132,137,empty
240,231,131,137,empty
240,232,132,137,empty
241,231,132,137,empty
240,232,132,137,empty
240,232,132,137,empty
240,231,132,137,empty
240,231,131,137,empty
240,231,132,137,empty
240,231,132,137,empty
240,231,131,137,empty
241,232,132,137,empty
240,231,132,136,empty
240,232,132,137,empty
240,232,131,136,empty
240,232,132,137,empty
240,232,132,137,empty
240,231,132,137,empty
241,232,132,137,empty
240,232,132,137,empty
241,231,132,136,empty
241,231,132,137,empty
240,232,132,137,empty
241,231,131,137,empty
241,232,132,137,empty
241,231,132,137,empty
241,232,132,136,empty
241,231,133,137,empty
241,231,132,137,empty
241,231,132,137,empty
241,231,132,137,empty
241,232,132,136,empty
241,231,132,137,empty
241,232,132,137,empty
241,231,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,232,132,137,empty
241,231,132,136,empty
241,232,132,137,empty
241,231,132,137,empty
240,231,131,136,empty
240,231,131,136,empty
240,231,131,136,empty
240,231,132,136,empty
240,231,131,136,empty
240,231,132,136,empty
240,231,132,136,empty
241,231,132,136,empty
241,231,131,136,empty
241,231,131,136,empty
241,231,132,136,empty
241,231,132,136,empty
241,231,131,135,empty
241,231,131,135,empty
241,231,131,136,empty
